,통화명,매매기준율
0,미국 USD,"1,327.40"
1,유럽연합 EUR,"1,430.80"
2,일본 JPY (100엔),908.84
3,중국 CNY,181.99
4,홍콩 HKD,169.24
5,대만 TWD,41.70
6,영국 GBP,"1,667.48"
7,오만 OMR,"3,447.52"
8,캐나다 CAD,975.96
9,스위스 CHF,"1,496.84"
10,스웨덴 SEK,120.35
11,호주 AUD,850.07
12,뉴질랜드 NZD,783.43
13,체코 CZK,59.25
14,칠레 CLP,1.57
15,튀르키예 TRY,51.23
16,몽골 MNT,0.38
17,이스라엘 ILS,348.83
18,덴마크 DKK,191.96
19,노르웨이 NOK,123.52
20,사우디아라비아 SAR,353.84
21,쿠웨이트 KWD,"4,301.92"
22,바레인 BHD,"3,520.86"
23,아랍에미리트 AED,361.40
24,요르단 JOD,"1,872.21"
25,이집트 EGP,42.96
26,태국 THB,37.77
27,싱가포르 SGD,978.15
28,말레이시아 MYR,285.34
29,인도네시아 IDR 100,8.69
30,카타르 QAR,364.17
31,카자흐스탄 KZT,2.90
32,브루나이 BND,978.15
33,인도 INR,16.05
34,파키스탄 PKR,4.38
35,방글라데시 BDT,12.15
36,필리핀 PHP,23.42
37,멕시코 MXN,78.84
38,브라질 BRL,271.92
39,베트남 VND 100,5.53
40,남아프리카 공화국 ZAR,70.32
41,러시아 RUB,14.03
42,헝가리 HUF,3.72
43,폴란드 PLN,319.90
44,스리랑카 LKR,4.10
45,알제리 DZD,9.72
46,케냐 KES,9.16
47,콜롬비아 COP,0.32
48,탄자니아 TZS,0.53
49,네팔 NPR,10.03
50,루마니아 RON,289.67
51,리비아 LYD,275.34
52,마카오 MOP,164.18
53,미얀마 MMK,0.63
54,에티오피아 ETB,24.04
55,우즈베키스탄 UZS,0.11
56,캄보디아 KHR,0.32
57,피지 FJD,585.32
